ph,Solids,Turbidity,Potability
8.29,376.74,2.03,1
2.79,2367.43,14.12,0
6.97,347.36,1.58,1
8.23,273.53,5.22,1
3.92,517.25,8.71,0
7.18,336.14,4.04,1
7.55,396.86,1.8,1
3.22,1650.95,2.49,0
9.55,2653.64,0.28,0
6.55,498.51,3.29,0
6.12,1616.54,13.34,0
9.65,1943.55,7.65,0
7.31,232.31,3.11,1
7.68,230.71,3.4,1
6.36,0.0,18.82,0
7.31,311.35,3.16,1
8.29,176.22,4.63,1
7.93,179.97,2.17,1
7.6,239.98,2.57,1
7.72,377.46,1.57,1
9.82,2899.31,8.45,0
5.06,1055.72,14.92,0
7.83,268.47,3.26,1
8.15,139.25,2.68,1
8.52,881.04,6.6,0
7.23,311.09,1.35,1
7.05,158.77,3.97,1
8.9,0.0,7.21,0
8.57,363.39,0.47,1
7.6,373.85,2.67,1
7.26,426.69,1.79,1
4.37,440.22,11.07,0
7.14,253.94,3.56,1
7.69,239.94,2.21,1
7.34,260.79,1.04,1
5.28,731.43,16.73,0
3.96,568.19,6.11,0
5.48,1681.8,0.0,0
7.64,382.72,2.51,1
4.56,803.41,8.64,0
7.37,175.22,4.13,1
4.54,602.51,11.94,0
8.16,0.0,11.81,0
10.13,1672.42,9.81,0
7.39,306.75,1.08,1
7.26,234.67,4.27,1
7.59,233.82,3.35,1
7.74,277.65,3.21,1
5.52,1434.79,15.17,0
7.91,176.91,2.73,1
4.43,0.0,6.11,0
7.38,224.63,1.61,1
7.54,531.47,0.63,1
9.06,2425.73,12.95,0
7.63,378.18,1.26,1
7.25,144.93,2.57,1
4.17,2496.34,18.44,0
8.02,393.13,1.66,1
6.97,382.25,1.28,1
3.89,794.55,15.12,0
4.38,464.64,15.81,0
9.58,1195.97,7.47,0
10.3,0.0,16.03,0
7.33,219.77,2.34,1
9.56,711.23,15.8,0
7.48,456.46,0.0,1
6.8,358.69,4.69,1
4.67,1545.56,8.45,0
7.81,214.28,1.43,1
3.82,1288.14,18.59,0
7.67,123.7,2.82,1
10.52,0.0,18.48,0
7.11,276.32,2.01,1
9.73,518.43,13.8,0
4.53,1356.41,2.69,0
7.1,288.53,3.0,1
5.8,538.58,13.78,0
6.81,2296.43,17.85,0
7.65,326.11,2.51,1
7.71,382.21,4.4,1
6.81,206.22,3.02,1
6.24,548.35,4.99,0
9.64,947.14,3.94,0
11.07,420.53,0.62,0
8.08,217.93,3.46,1
7.25,241.06,3.35,1
7.83,202.53,3.29,1
7.4,330.15,2.47,1
5.5,1689.57,13.12,0
11.03,560.59,0.0,0
10.55,1145.49,11.24,0
9.4,715.97,11.29,0
6.92,414.28,3.25,1
7.2,485.23,2.49,1
5.5,1228.78,18.92,0
7.1,249.82,3.42,1
7.91,308.7,2.2,1
9.55,622.5,7.22,0
7.7,488.62,2.67,1
4.43,1868.88,8.03,0
7.63,334.64,1.82,1
